Portfolio
Financial Instrument Description,Position,Currency,Market Price,Market Value,Average Price,Unrealized P&L,Realized P&L,Liquidate Last,Security Type,Delta Dollars
XLV,36,USD,147.550003,5311.80,137.8978,347.48,0.00,No,STK,5311.80
VXUS,35,USD,78.0999985,2733.50,72.4585943,197.45,0.00,No,STK,2733.50
VOO,13,USD,613.7199707,7978.36,596.7269462,220.91,0.00,No,STK,7978.36
QQQ,8,USD,600.8300171,4806.64,579.785025,168.36,0.00,No,STK,4806.64
MSFT,22,USD,396.5697632,8724.53,414.0575,-384.73,0.00,No,STK,8724.53
GOOGL,20,USD,310.0886536,6201.77,313.937075,-76.97,0.00,No,STK,6201.77
C PRN,60,USD,29.6499996,1779.00,30.3183333,-40.10,0.00,No,STK,1779.00
BND,34,USD,73.866005,2511.44,74.5094323,-21.88,0.00,No,STK,2511.44
AAPL,20,USD,253.0831604,5061.66,258.3343,-105.02,0.00,No,STK,5061.66
9988,100,HKD,137.699997,13770.00,163.354646,-2565.46,0.00,No,STK,13770.00
9696,200,HKD,41.119999,8224.00,57.301629,-3236.33,0.00,No,STK,8224.00
2600,2000,HKD,12.3479996,24696.00,11.5715692,1552.86,0.00,No,STK,24696.00

Cash Balances
HKD,70000,HKD
USD,65,USD
Total (in HKD),1908,HKD

